tag_raw,tag_norm,url
1 апреля,1 апреля,https://www.anekdot.ru/tags/1%20%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8F
14 февраля,14 февраля,https://www.anekdot.ru/tags/14%20%D1%84%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8F
23 февраля,23 февраля,https://www.anekdot.ru/tags/23%20%D1%84%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8F
8 марта,8 марта,https://www.anekdot.ru/tags/8%20%D0%BC%D0%B0%D1%80%D1%82%D0%B0
apple,apple,https://www.anekdot.ru/tags/apple
telegram,telegram,https://www.anekdot.ru/tags/telegram
windows,windows,https://www.anekdot.ru/tags/windows
Абрамович,абрамович,https://www.anekdot.ru/tags/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2%D0%B8%D1%87
авиация,авиация,https://www.anekdot.ru/tags/%D0%B0%D0%B2%D0%B8%D0%B0%D1%86%D0%B8%D1%8F
авто,авто,https://www.anekdot.ru/tags/%D0%B0%D0%B2%D1%82%D0%BE
автобус,автобус,https://www.anekdot.ru/tags/%D0%B0%D0%B2%D1%82%D0%BE%D0%B1%D1%83%D1%81
Адам и Ева,адам и ева,https://www.anekdot.ru/tags/%D0%90%D0%B4%D0%B0%D0%BC%20%D0%B8%20%D0%95%D0%B2%D0%B0
аптека,аптека,https://www.anekdot.ru/tags/%D0%B0%D0%BF%D1%82%D0%B5%D0%BA%D0%B0
армия,армия,https://www.anekdot.ru/tags/%D0%B0%D1%80%D0%BC%D0%B8%D1%8F
армянское радио,армянское радио,https://www.anekdot.ru/tags/%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%BE%D0%B5%20%D1%80%D0%B0%D0%B4%D0%B8%D0%BE
Баба-Яга,баба-яга,https://www.anekdot.ru/tags/%D0%91%D0%B0%D0%B1%D0%B0-%D0%AF%D0%B3%D0%B0
Березовский,березовский,https://www.anekdot.ru/tags/%D0%91%D0%B5%D1%80%D0%B5%D0%B7%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9
