cluster_final,rank,term,score
0,1,путин,0.04744325625878859
0,2,владимир,0.01831152975305331
0,3,путина,0.017220144864301044
0,4,владимирович,0.015130747314727418
0,5,украины,0.010905008484075725
0,6,президента,0.01042394287378872
0,7,сша,0.009524671675714034
0,8,президент,0.009352579621571806
0,9,президентом,0.009335993023980745
0,10,украине,0.008785788196071962
0,11,россия,0.00857319798644082
0,12,дмитрий,0.008370200642189634
0,13,россиян,0.007380062084700447
0,14,млн,0.006936185512520194
0,15,бензин,0.005063039653320872
0,16,порошенко,0.00456860986195742
0,17,россию,0.004416495932408907
0,18,крым,0.004284110475886891
0,19,обама,0.004284110475886891
0,20,санкций,0.004284110475886891
1,1,жена,0.016120303649994346
1,2,муж,0.013399767913061675
1,3,мужу,0.009034681039777814
1,4,дорогая,0.007978457518254158
1,5,девушка,0.006720564299144393
1,6,жене,0.005587813917684892
1,7,люся,0.005559803716786348
1,8,дорогой,0.0053599071652246704
1,9,мужа,0.004849806314468208
1,10,две,0.004806735825287054
1,11,ему,0.004581559984735235
1,12,ой,0.004512490429758409
1,13,ей,0.004484253933057684
1,14,чего,0.004411872577893189
1,15,разговаривают,0.004274173670493298
1,16,работу,0.0042726540669218264
1,17,любишь,0.004169852787589761
1,18,блондинки,0.004131718306059317
1,19,давай,0.003916855236125721
1,20,моя,0.0037385723085565977
2,1,женщины,0.01814938192007918
2,2,женщина,0.013252377216199093
2,3,мужчина,0.012502907544943435
2,4,девушки,0.011548284841503704
2,5,жена,0.010443024265069758
2,6,девушка,0.010087848657409838
2,7,мужчины,0.008666538298321404
2,8,муж,0.008354885480151134
2,9,девушкой,0.007893304782137189
2,10,замуж,0.007893304782137189
2,11,ей,0.0072919741688695005
2,12,женщин,0.007194034425908684
2,13,секс,0.006369792207596716
2,14,её,0.00587898007784202
2,15,мужчину,0.005459821892225757
2,16,секса,0.005243154776911762
2,17,быть,0.005094158178082809
2,18,женщиной,0.005074267359945335
2,19,девушку,0.005004836734540277
2,20,мужа,0.005004836734540277
3,1,деньги,0.010692768313396718
3,2,работе,0.008138937036761967
3,3,жизни,0.006688405509466308
3,4,тюрьме,0.006345037848177158
3,5,отпуск,0.006075889660301419
3,6,хорошо,0.005414423507663203
3,7,отдыхать,0.005117388793958274
3,8,те,0.004712016179177982
3,9,людей,0.004678086137111064
3,10,работу,0.004678086137111064
3,11,интернета,0.004278628512767119
3,12,чувство,0.004230025232118105
3,13,примета,0.003982503263550987
3,14,человека,0.0038552859647819847
3,15,интернет,0.0038552859647819847
3,16,налоги,0.0038480429597619174
3,17,умение,0.0038480429597619174
3,18,зарабатывать,0.0038480429597619174
3,19,ничего,0.0038219460054093194
3,20,работать,0.0038138440415172027
4,1,объявление,0.016978707478415088
4,2,гибдд,0.014156707179069253
4,3,тариф,0.00885382831683291
4,4,москве,0.00852249064445586
4,5,курицы,0.00798921006629477
4,6,дорогу,0.0075708928704393596
4,7,бесплатно,0.006561440487714111
4,8,реклама,0.006187209147945875
4,9,автомобиля,0.0061550900778561965
4,10,автомобили,0.005987912767104892
4,11,яндекс,0.005810334593668924
4,12,машины,0.005255314219509432
4,13,км,0.005160522021315024
4,14,рублей,0.004381876185643321
4,15,транспорта,0.0043577509452516925
4,16,акция,0.0043577509452516925
4,17,завод,0.0043577509452516925
4,18,ездить,0.004308563054499338
4,19,автомобиль,0.00429525878916631
4,20,связи,0.00429525878916631
5,1,учительница,0.05129818180096319
5,2,папа,0.017632893435276183
5,3,мама,0.01698127760953985
5,4,школе,0.012187390531166827
5,5,уроке,0.011952974400224433
5,6,урок,0.01123511444042068
5,7,спрашивает,0.010600973311538125
5,8,дети,0.009756134233535574
5,9,ивановна,0.008964730800168326
5,10,учитель,0.008645270503985763
5,11,отец,0.008254591994698605
5,12,школы,0.008089282397102888
5,13,пап,0.007470609000140271
5,14,класс,0.007450694515981456
5,15,классе,0.006586872764941533
5,16,школу,0.006474551219682377
5,17,директор,0.006184392939867612
5,18,домой,0.005463435170779921
5,19,бабушка,0.005315518907303025
5,20,приходит,0.0045189255676118785
6,1,доктор,0.04521199428342323
6,2,врач,0.02952208189723803
6,3,врачу,0.01627631794203236
6,4,приходит,0.01037133927268268
6,5,аптеке,0.01024801496861629
6,6,ему,0.009714411060310523
6,7,аптеку,0.009459706124876574
6,8,больной,0.008535921038063258
6,9,аптекарь,0.007883088437397144
6,10,продавец,0.00782459428489132
6,11,врача,0.00711326753171938
6,12,спрашивает,0.006476274040207015
6,13,голубчик,0.006401940778547443
6,14,болит,0.006310133998534397
6,15,нос,0.005258444998778664
6,16,презервативов,0.0052129184378685
6,17,презервативы,0.0052129184378685
6,18,женщина,0.005105433698756925
6,19,батенька,0.004979287272203567
6,20,здесь,0.004941506790804424
7,1,поручик,0.02062424884555169
7,2,ржевский,0.017311807727798976
7,3,петька,0.01534827821064312
7,4,винни,0.014282241375434155
7,5,волк,0.012470521154158663
7,6,василий,0.010636620984429449
7,7,пятачок,0.009521494250289437
7,8,ему,0.009492742315779889
7,9,ее,0.00895541727903763
7,10,шапочка,0.008633406493486755
7,11,иваныч,0.008153772799404156
7,12,заяц,0.008069160746808548
7,13,чапаев,0.007929288587721664
7,14,иван,0.0073638648404635715
7,15,спрашивает,0.007343442168810857
7,16,лесу,0.007090269231233219
7,17,идет,0.0060131588659186365
7,18,медведь,0.005550502011405165
7,19,рыбку,0.0048122379951473886
7,20,красная,0.0047991229958733
8,1,студент,0.05630877749712075
8,2,профессор,0.029048300255969467
8,3,экзамен,0.025175059491874156
8,4,студента,0.018074401686473753
8,5,препод,0.01716897609939959
8,6,студенты,0.016817436990298112
8,7,экзамене,0.015492344302691788
8,8,преподаватель,0.015022854086974641
8,9,студентка,0.012264772572964332
8,10,студентов,0.009173147449253516
8,11,лекции,0.007869114045558146
8,12,студентам,0.007687250808344147
8,13,студенту,0.006438366037274847
8,14,вопрос,0.006411365469977557
8,15,ему,0.005609944786230362
8,16,хорошо,0.005342804558314631
8,17,спрашивает,0.0050756643303989
8,18,сессии,0.005007618028991548
8,19,отвечает,0.004633075699916131
8,20,билет,0.004376421502662201
9,1,русский,0.015100510494431025
9,2,такси,0.0129230409993588
9,3,новый,0.01171979918970766
9,4,таксист,0.010260289394374171
9,5,одессе,0.00925832356120878
9,6,повезло,0.008326275953394486
9,7,поезда,0.007242557219558239
9,8,девушка,0.006622761214195407
9,9,спрашивает,0.006536041855798503
9,10,поезд,0.006019375546271981
9,11,автобус,0.005999983321130871
9,12,автобусе,0.005986685987189486
9,13,ему,0.00585989959485383
9,14,бабка,0.004901465414757589
9,15,официант,0.004828371479705492
9,16,остановка,0.004828371479705492
9,17,одессу,0.004828371479705492
9,18,одесском,0.004828371479705492
9,19,водитель,0.004729509357785129
9,20,едет,0.004729509357785129
10,1,ватсон,0.030859766691717368
10,2,кота,0.026794006033013427
10,3,холмс,0.02367491703574016
10,4,кот,0.016910655025528683
10,5,собака,0.014716465704810574
10,6,владелец,0.011781026930958444
10,7,шерлок,0.011781026930958444
10,8,кошку,0.010682188292303715
10,9,собаку,0.010146393015317213
10,10,кошка,0.009639022034420545
10,11,кошки,0.009076401968152167
10,12,му,0.008568019586151596
10,13,хозяев,0.008308368671791778
10,14,миссис,0.008308368671791778
10,15,хадсон,0.008308368671791778
10,16,коту,0.006867683995578268
10,17,доктор,0.005445841180891301
10,18,собак,0.005355012241344747
10,19,старушка,0.005355012241344747
10,20,соседи,0.004905488568270191
11,1,мороз,0.045181346849487325
11,2,дед,0.028436477176085915
11,3,год,0.02360253689068153
11,4,новый,0.02001084649427347
11,5,января,0.018597677774744865
11,6,санта,0.016488303073070785
11,7,году,0.014831316645098435
11,8,мороза,0.013638297034812901
11,9,деда,0.01249343739654037
11,10,дедушка,0.01056212009397477
11,11,деду,0.009918761479863928
11,12,новогоднее,0.009618176792624623
11,13,подарок,0.008124707764595975
11,14,новогодний,0.007950369252343872
11,15,подарки,0.00783064286816459
11,16,31,0.006814602216294746
11,17,декабря,0.006814602216294746
11,18,марта,0.006499766211676781
11,19,пожалуйста,0.006459798581122713
11,20,дождь,0.006199225924914955
12,1,windows,0.043986059763352035
12,2,юзер,0.014158775123125567
12,3,программист,0.013534172234877549
12,4,менеджер,0.013238467426263237
12,5,сисадмин,0.011504004787539523
12,6,фсб,0.009444666367286692
12,7,компьютер,0.008797211952670407
12,8,нажмите,0.0071865583326619995
12,9,компьютера,0.007079387561562784
12,10,работает,0.007027406674386104
12,11,смс,0.006767086117438774
12,12,накаливания,0.006194464116367436
12,13,гейтс,0.0060903775056948975
12,14,программы,0.005851810213972539
12,15,ваш,0.0058218520572770535
12,16,билл,0.005673628896969958
12,17,шаг,0.00541366889395102
12,18,программисты,0.005309540671172088
12,19,сообщение,0.005043225686195518
12,20,работу,0.004853742720811539
13,1,британские,0.019255534567372994
13,2,курить,0.015731246986265726
13,3,водки,0.01282358675281172
13,4,ученые,0.011488753405117392
13,5,водка,0.011488753405117392
13,6,таблетки,0.01131848937726565
13,7,сигарет,0.010757742131625477
13,8,граммов,0.009701562323370556
13,9,учёные,0.009592056435199255
13,10,пить,0.009403963618728594
13,11,балконе,0.00895958074530205
13,12,пьешь,0.008887169800325995
