cluster_final,size,share,suggested_name,top_macro_tags,top_raw_tags,top_ctfidf_terms,year_min,year_max,central_example_id,central_example_preview
0,711,0.12906153566890544,politics_power | finance_economy | health_medicine | media_popculture,politics_power | finance_economy | health_medicine | media_popculture,Путин | политика | Украина | Медведев | коррупция,путин | владимир | путина | владимирович | украины | президента | сша | президент,1996,2026,853356,"То, что Порошенко поднялся в рейтинге богатейших украинцев на 4-е место, - это элемент гибридной войны России по дискредитации президента Украины."
1,530,0.09620620802323471,family_relationships | sex_gender | work_professions | it_internet,family_relationships | sex_gender | work_professions | it_internet,муж и жена | девушки | мужчины | работа | секс,жена | муж | мужу | дорогая | девушка | жене | люся | дорогой,1996,2026,817881,"Жена мужу: - Ты работу любишь больше, чем меня! - С чего ты взяла? - У тебя вечером, перед сексом со мной, ТАК не стоит, как утром перед работой!"
2,522,0.09475403884552551,sex_gender | family_relationships | it_internet | media_popculture,sex_gender | family_relationships | it_internet | media_popculture,девушки | муж и жена | мужчины | секс | любовь,женщины | женщина | мужчина | девушки | жена | девушка | мужчины | муж,1998,2025,672713,"С женским телом всегда легче договориться, чем с самой женщиной."
3,457,0.08295516427663822,absurd_philosophy | work_professions | finance_economy | it_internet,absurd_philosophy | work_professions | finance_economy | it_internet,о жизни | работа | интернет | деньги | политика,деньги | работе | жизни | тюрьме | отпуск | хорошо | отдыхать | те,1997,2026,242342,"Работать надо так, чтобы не было мучительно больно за бесплатно потраченное время."
4,361,0.0655291341441278,transport | consumer_services | cities_places | it_internet,transport | consumer_services | cities_places | it_internet,авто | объявления | реклама | гаи | Москва,объявление | гибдд | тариф | москве | курицы | дорогу | бесплатно | реклама,1996,2026,522591,"Омский шинный завод выиграл тендер на поставку автошин для ""Формулы 1"" в количестве 2000 штук... для ограждения трассы."
5,320,0.058086767108368124,education_children | politics_power | family_relationships | literature_folklore_characters,education_children | politics_power | family_relationships | literature_folklore_characters,вовочка | школа | дети | студент | русский язык,учительница | папа | мама | школе | уроке | урок | спрашивает | дети,1996,2026,13722,"Сидят Вовочка с Машенькой на уроке и балаболят. Машенька: - Вот горе у меня, залетела, а от кого - не знаю! Вовочка: - Это фигня. Вот я триппер подхватил, а где - не пойму. Учительница: - Прекратите болтать на уроке! Вовочка, сколько будет шестью шесть? Вовочка: - Тридцать шесть! Мне бы ваши заботы…"
6,247,0.04483572336177165,health_medicine | sex_gender | alcohol_smoking_drugs | education_children,health_medicine | sex_gender | alcohol_smoking_drugs | education_children,врачи | аптека | коронавирус | мужчины | муж и жена,доктор | врач | врачу | приходит | аптеке | ему | аптеку | больной,1996,2025,300741,"Зубной врач после проведенного лечения смущенно говорит пациенту: - Простите ради бога, но я, похоже, удалил вам здоровый зуб. Теперь придется рвать еще и больной... Пациент отплевывается, и, не устраивая ожидаемой истерики, отвечает: - Доктор! Какое счастье, что вы не окулист!"
7,241,0.043746596478489747,literature_folklore_characters | everyday_life | sex_gender | animals,literature_folklore_characters | everyday_life | sex_gender | animals,Ржевский | чапаев | Винни-Пух | Иван-царевич | золотая рыбка,поручик | ржевский | петька | винни | волк | василий | пятачок | ему,1996,2025,-10018590,"Идет Иван-Царевич по лесу. Вдруг видит - в траве мышка сидит. Кинулся он к ней, хотел уже раздавить, как мышка говорит ему человеческим голосом: - Не дави меня, Иван-Царевич, я тебе еще пригожусь. ""Ну фиг с тобой,"" - думает Иван-Царевич, кладет мышку в карман и идет дальше. Идет, идет, вдруг видит…"
8,222,0.040297694681430386,education_children | army_police | sex_gender | work_professions,education_children | army_police | sex_gender | work_professions,студент | школа | армия | работа | девушки,студент | профессор | экзамен | студента | препод | студенты | экзамене | преподаватель,1996,2025,15595,"Пpиходит студент на экзамен по устpойству чего-то. Взял билет, подготовился, поpа отвечать. Подходит он к пpеподу: - Извините, так и так, у меня пpоблемы с теpминами, можно я своими словами pасскажу? Пpепод ему pазpешает. Студент pассказывает: - Эта ху@нюшка состоит из такой-то по@ботины и @#$@@. Т…"
9,220,0.03993465238700308,transport | cities_places | ethnic_regional | work_professions,transport | cities_places | ethnic_regional | work_professions,Одесса | новые русские | поезд | такси | автобус,русский | такси | новый | таксист | одессе | повезло | поезда | девушка,1996,2025,-10026368,"Едут в поезде русский и одессит. Ну, как это обычно бывает, познакомились, выпили. Одессит: - Как?! Вы ни разу небыли в Одессе?! Обязательно приезжайте в Одессу!! Вы поймете, что до этого зря жили на свете! Приезжайте в Одессу! Обязательно приезжайте в Одессу!! Русский: - Хорошо, приеду. Давайте ад…"
