cluster_leiden,animals,army_police,character_cycles,education_children,everyday_life,family_relationships,it_internet,other,politics_power,work_professions
0,0,46,16,28,104,6,45,378,521,29
1,4,4,6,37,49,397,58,212,6,17
2,6,22,58,17,91,266,30,199,20,68
3,86,12,50,38,85,30,15,212,10,16
4,8,104,12,8,75,17,4,262,15,28
5,0,4,1,9,61,18,98,225,10,96
6,5,5,53,290,16,11,6,65,11,3
7,2,8,0,191,7,5,3,17,0,8
8,0,3,5,5,3,17,1,62,2,126
9,0,34,1,4,89,5,7,64,5,8
10,0,3,43,9,73,2,3,52,6,1
11,0,0,2,0,4,3,0,82,1,1
