cluster_leiden,1 апреля,14 февраля,23 февраля,8 марта,apple,telegram,windows,Абрамович,Адам и Ева,Баба-Яга,Березовский,Билл Гейтс,Брежнев,Буратино,Валуев,Винни-Пух,Вконтакте,Гарри Поттер,Дед Мороз,Донцова,Иван-царевич,Каренина,Карлсон,Колобок,Красная Шапочка,Куклачев,Мазай,Медведев,Москва,Муму,Навальный,Обама,Одесса,Онищенко,Перельман,Прохоров,Путин,Пушкин,Рабинович,Ржевский,Сочи 2014,Сталин,Сусанин,Трамп,Украина,Хоттабыч,Чак Норрис,Чебурашка,Челябинск,Шерлок Холмс,Штирлиц,авиация,авто,автобус,аптека,армия,армянское радио,бесплатное,блондинки,богатыри,британские ученые,брюнетки,веган,вовочка,водка,война,врачи,гаи,геи,грипп,дача,девушки,демократия,деньги,дети,диета,егэ,животные,жкх,звёзды,золотая рыбка,ии,инструкции,интернет,кино,конец света,коронавирус,коррупция,космос,кошки,кредиты,кризис,лифт,любовь,маршрутка,метро,милиция,ммм,мобильный,муж и жена,мужчины,мультфильмы,налоги,нанотехнологии,наркотики,новогодний,новые русские,о жизни,объявления,отдых,охота,парашют,пасха,пенсионеры,пиво,погода,поезд,пожарный,покемоны,политика,почта,пошлые,приметы,программист,работа,реклама,русский язык,рыбалка,санкции,сантехник,сбербанк,свадьба,секс,семья,сигареты,смс,собаки,соседи,спорт,студент,такси,таможня,тараканы,тв,твиттер,трактор,трамвай,троллейбус,тёща,фильмы,фсб,футбол,хоккей,цитаты,чапаев,чукча,школа,юмор
0,1,0,1,0,5,1,1,9,0,0,6,3,4,0,2,0,2,0,1,0,0,0,2,0,0,0,0,44,28,0,7,11,3,2,1,3,158,5,6,0,18,5,2,20,104,0,1,3,3,2,0,11,9,0,1,17,8,2,0,0,0,0,0,0,3,4,6,7,13,7,0,2,13,31,1,3,5,0,4,46,1,4,0,25,6,5,37,46,28,0,7,14,0,0,1,7,9,2,5,2,2,0,11,14,8,11,0,37,4,4,1,1,0,29,1,8,2,1,1,125,6,4,3,2,20,6,10,1,18,1,12,0,1,0,2,4,0,0,13,15,1,2,0,30,1,1,1,1,1,9,9,6,0,1,3,3,7,0
1,0,3,10,7,3,0,0,1,2,0,0,0,0,1,2,0,3,0,0,2,0,1,0,1,0,0,0,0,1,0,1,0,4,0,0,0,1,1,3,1,0,0,0,0,0,0,0,1,2,1,0,0,8,1,0,1,4,0,8,0,1,1,1,0,4,0,5,2,8,0,0,223,1,6,32,5,0,0,0,17,0,1,0,38,11,0,11,0,0,3,3,1,3,17,0,1,0,0,13,95,91,1,0,0,1,3,1,25,16,5,0,2,0,2,0,4,0,1,0,3,4,7,4,1,11,5,4,1,0,0,0,11,40,0,2,8,1,2,4,1,0,0,0,10,1,1,0,0,6,16,1,1,0,0,0,1,5,4
2,2,0,0,4,1,0,1,5,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,23,0,0,1,2,1,56,31,0,0,0,0,2,0,0,0,1,4,1,3,12,1,0,4,0,0,27,0,1,4,1,0,15,1,3,4,2,0,2,71,0,16,12,6,0,1,2,6,13,1,0,17,7,0,3,3,0,2,6,3,2,4,0,0,11,0,9,138,57,0,2,0,1,7,3,11,3,5,1,0,1,3,9,3,0,2,0,6,1,3,0,8,55,4,7,8,0,2,3,15,23,2,4,15,3,11,5,3,1,0,2,3,0,1,0,0,12,2,2,2,0,0,1,1,2,2
3,0,0,0,0,2,0,0,1,1,0,0,1,1,15,1,1,0,4,0,1,0,0,4,3,1,6,2,1,1,7,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,3,20,25,1,4,0,2,4,3,0,0,1,12,0,5,0,36,1,5,5,0,6,3,9,0,2,34,18,0,9,1,5,1,1,4,9,1,0,21,0,0,60,1,0,2,1,1,0,1,0,2,7,13,4,3,1,6,9,1,18,2,4,4,0,1,4,6,3,0,2,3,3,0,0,5,1,7,4,7,3,3,3,0,0,2,0,25,0,19,11,2,2,0,0,12,6,0,0,0,0,2,5,1,0,0,1,0,1,4,1
4,0,0,0,1,0,0,1,0,0,0,0,1,2,0,1,1,0,1,0,0,0,0,2,2,0,0,1,0,1,0,1,0,52,0,0,0,2,0,4,4,1,0,0,0,10,0,0,0,2,1,0,49,7,18,1,11,0,0,3,1,0,1,0,0,5,1,2,88,3,0,1,7,0,5,4,0,0,4,0,3,2,0,0,1,2,0,3,1,2,2,0,0,7,0,6,8,4,0,2,6,7,0,3,0,11,2,32,6,2,4,5,21,2,1,2,0,24,2,0,2,2,0,0,6,19,0,2,1,0,1,0,0,0,0,5,0,2,1,0,4,24,13,0,1,0,2,4,6,0,2,0,0,0,0,0,6,1,2
5,1,0,1,0,4,0,37,0,0,0,1,9,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,2,2,0,0,0,0,0,2,0,6,2,1,0,1,10,0,29,5,3,0,0,2,2,0,4,5,32,2,5,12,2,1,0,3,5,4,1,0,0,1,0,12,2,6,0,7,0,4,3,1,120,4,16,0,1,0,4,1,6,1,0,0,6,0,2,10,19,71,5,7,0,0,2,1,0,1,0,3,0,0,2,3,3,0,0,1,11,0,0,1,0,1,2,1,0,0,5,0,0,1,5
6,0,0,0,1,1,0,0,0,0,2,1,0,0,1,0,17,0,0,1,0,14,0,0,3,12,0,0,1,0,2,0,0,4,0,0,0,3,2,1,1,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,2,0,0,1,6,0,0,0,219,0,0,2,2,0,0,1,1,0,1,33,0,1,0,0,1,0,0,0,5,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,3,1,2,0,0,1,1,0,4,0,0,0,0,0,0,1,0,1,1,2,5,0,1,0,0,1,0,6,0,0,0,0,1,1,1,2,0,2,3,2,8,0,0,1,2,0,0,0,2,4,0,0,1,0,0,31,2,37,1
7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,5,0,0,3,1,3,1,1,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,6,0,4,0,0,0,0,0,1,0,1,0,0,0,1,172,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,15,1
8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,1,4,0,0,0,0,0,1,0,121,3,1,1,0,4,0,2,2,4,0,0,0,0,0,0,2,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,1,0,4,3,2,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3,2,0,0,0,3,0,0,4,0,4,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
9,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,3,0,0,2,77,1,0,1,1,6,0,0,0,0,0,0,0,1,0,31,0,0,0,3,0,4,0,0,0,0,1,2,0,0,2,3,0,0,3,1,0,0,2,0,2,0,3,0,1,0,1,1,1,0,2,1,0,2,0,5,15,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,8,20,2,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,2,0
10,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,1,0,2,0,0,0,5,0,1,0,2,2,0,0,0,2,0,1,6,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,66,0,2,1,4,0,0,5,0,0,27,1,0,0,2,2,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,1
11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,35,7,0,0,1,0,0
