cluster_final,rows,text_length_chars_mean,text_length_chars_median,text_length_words_mean,text_length_words_median,year_min,year_max,share
0,711,165.0056258790436,133.0,24.067510548523206,20.0,1996,2026,0.12906153566890544
1,530,170.62830188679246,145.0,27.288679245283017,23.0,1996,2026,0.09620620802323471
2,522,114.1264367816092,99.0,17.992337164750957,15.5,1998,2025,0.09475403884552551
3,457,111.77024070021882,93.0,17.555798687089716,15.0,1997,2026,0.08295516427663822
4,361,157.70083102493075,117.0,22.191135734072024,16.0,1996,2026,0.0655291341441278
5,320,273.3875,183.0,42.121875,28.0,1996,2026,0.058086767108368124
6,247,222.77732793522267,173.0,34.26315789473684,27.0,1996,2025,0.04483572336177165
7,241,362.79253112033194,239.0,57.20746887966805,38.0,1996,2025,0.043746596478489747
8,222,274.47747747747746,188.5,40.22522522522522,28.5,1996,2025,0.040297694681430386
9,220,309.7409090909091,218.5,48.0,35.5,1996,2025,0.03993465238700308
10,219,164.53881278538813,112.0,25.269406392694062,17.0,1996,2025,0.039753131239789435
11,215,133.69767441860466,111.0,20.795348837209303,17.0,1997,2026,0.03902704665093484
12,198,253.3080808080808,122.0,37.44949494949495,18.0,1996,2026,0.03594118714830278
13,198,120.95454545454545,98.5,18.09090909090909,15.0,1997,2026,0.03594118714830278
14,173,150.7514450867052,110.0,23.115606936416185,17.0,1997,2025,0.03140315846796152
15,165,262.1151515151515,180.0,39.127272727272725,28.0,1996,2024,0.029950989290252316
16,139,190.28776978417267,127.0,29.258992805755394,19.0,1998,2025,0.025231439462697403
17,138,184.0,132.5,27.594202898550726,20.0,1997,2023,0.025049918315483755
18,120,353.7083333333333,216.5,51.30833333333333,30.0,1996,2025,0.021782537665638046
19,113,245.43362831858408,203.0,37.92920353982301,31.0,1996,2025,0.020511889635142493
