cluster_leiden,dominant_raw_tag,dominant_raw_share,raw_entropy,dominant_macro_tag,dominant_macro_share,macro_entropy
0,Путин,0.12061068702290076,5.572742598547606,politics_power,0.4441602728047741,2.1041838197817575
1,девушки,0.252262443438914,4.657541969292203,family_relationships,0.5025316455696203,2.0437365613551264
2,муж и жена,0.15771428571428572,5.295261833452914,family_relationships,0.34234234234234234,2.619708331273074
3,кошки,0.09966777408637874,5.744852112279628,other,0.38267148014440433,2.681541628859682
4,гаи,0.1514629948364888,5.221344699383374,other,0.4915572232645403,2.2465852050512454
5,о жизни,0.2146690518783542,4.808278041548999,other,0.43103448275862066,2.2365631490689135
6,вовочка,0.453416149068323,3.6626787829169105,education_children,0.6236559139784946,1.8701218154396633
7,студент,0.6771653543307087,2.4209619636210533,education_children,0.7925311203319502,1.2623010088976492
8,врачи,0.49794238683127573,3.324050316666578,work_professions,0.5625,1.7693488244708537
9,авто,0.32083333333333336,4.164980499454533,everyday_life,0.41013824884792627,2.19387944736707
10,новогодний,0.32195121951219513,3.661428086926843,everyday_life,0.3802083333333333,2.1830962631409325
11,спорт,0.3888888888888889,2.7580937817543485,other,0.8817204301075269,0.7749206188408666
