cluster_final,year,size,cluster_size,share_of_cluster
0,1996,2,711,0.0028129395218002813
0,1998,3,711,0.004219409282700422
0,1999,6,711,0.008438818565400843
0,2000,7,711,0.009845288326300985
0,2001,5,711,0.007032348804500703
0,2002,7,711,0.009845288326300985
0,2003,10,711,0.014064697609001406
0,2004,14,711,0.01969057665260197
0,2005,8,711,0.011251758087201125
0,2006,23,711,0.03234880450070324
0,2007,18,711,0.02531645569620253
0,2008,29,711,0.040787623066104076
0,2009,32,711,0.0450070323488045
0,2010,27,711,0.0379746835443038
0,2011,74,711,0.10407876230661041
0,2012,42,711,0.05907172995780591
0,2013,35,711,0.04922644163150492
0,2014,45,711,0.06329113924050633
0,2015,33,711,0.046413502109704644
0,2016,50,711,0.07032348804500703
0,2017,39,711,0.05485232067510549
0,2018,41,711,0.057665260196905765
0,2019,32,711,0.0450070323488045
0,2020,58,711,0.08157524613220815
0,2021,36,711,0.05063291139240506
0,2022,14,711,0.01969057665260197
0,2023,2,711,0.0028129395218002813
0,2024,6,711,0.008438818565400843
0,2025,8,711,0.011251758087201125
0,2026,5,711,0.007032348804500703
1,1996,1,530,0.0018867924528301887
1,1997,6,530,0.011320754716981131
1,1998,4,530,0.007547169811320755
1,1999,4,530,0.007547169811320755
1,2000,12,530,0.022641509433962263
1,2001,5,530,0.009433962264150943
1,2002,5,530,0.009433962264150943
1,2003,9,530,0.016981132075471698
1,2004,4,530,0.007547169811320755
1,2005,4,530,0.007547169811320755
1,2006,8,530,0.01509433962264151
1,2007,12,530,0.022641509433962263
1,2008,10,530,0.018867924528301886
1,2009,14,530,0.026415094339622643
1,2010,36,530,0.06792452830188679
1,2011,37,530,0.06981132075471698
1,2012,45,530,0.08490566037735849
1,2013,49,530,0.09245283018867924
1,2014,42,530,0.07924528301886792
1,2015,41,530,0.07735849056603773
1,2016,29,530,0.05471698113207547
1,2017,23,530,0.04339622641509434
1,2018,32,530,0.06037735849056604
1,2019,17,530,0.03207547169811321
1,2020,21,530,0.03962264150943396
1,2021,7,530,0.013207547169811321
1,2022,18,530,0.033962264150943396
1,2023,12,530,0.022641509433962263
1,2024,10,530,0.018867924528301886
1,2025,11,530,0.020754716981132074
1,2026,2,530,0.0037735849056603774
2,1998,1,522,0.0019157088122605363
2,1999,1,522,0.0019157088122605363
2,2000,2,522,0.0038314176245210726
