feature_set,method,metric,params,k,resolution,seed,rows,cluster_count,largest_cluster_share,noise_share,ari_all,ami_all,v_measure_all,ari_excluding_other,ami_excluding_other,v_measure_excluding_other,ari_single_clear,ami_single_clear,v_measure_single_clear,pairwise_f1_all,pairwise_precision_all,pairwise_recall_all,balanced_score,n_clusters,error
hybrid_dense_lexical_dw0.75_lw0.25,leiden,cosine,k=75;resolution=2.5;seed=42,75.0,2.5,42.0,5509.0,29.0,0.08241060083499728,0.0,0.27489937148343135,0.39643696213118507,0.4099380500602041,0.27489937148343135,0.39643696213118507,0.4099380500602041,0.27489937148343135,0.39643696213118507,0.4099380500602041,0.3182682692942835,0.4137360278332963,0.25859793867855563,0.3278953702451741,,
hybrid_dense_lexical_dw0.75_lw0.25,leiden,cosine,k=75;resolution=2.0;seed=7,75.0,2.0,7.0,5509.0,20.0,0.12906153566890544,0.0,0.2768398283612387,0.3771557986073597,0.38709742673182684,0.2768398283612387,0.3771557986073597,0.38709742673182684,0.2768398283612387,0.3771557986073597,0.38709742673182684,0.3388263088979487,0.3518516488608496,0.3267309233380156,0.32302272669239,,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,leiden,cosine,k=50;resolution=2.5;seed=42,50.0,2.5,42.0,5509.0,30.0,0.08386277001270648,0.0,0.2676222716194148,0.39093941835203355,0.4049548283870967,0.2676222716194148,0.39093941835203355,0.4049548283870967,0.2676222716194148,0.39093941835203355,0.4049548283870967,0.3107595964281572,0.4161420269779201,0.2479656063945752,0.3218651915386368,,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,leiden,cosine,k=75;resolution=2.5;seed=42,75.0,2.5,42.0,5509.0,28.0,0.08640406607369759,0.0,0.26713846123918855,0.39098158432422087,0.40417392171884886,0.26713846123918855,0.39098158432422087,0.40417392171884886,0.26713846123918855,0.39098158432422087,0.40417392171884886,0.31174761895388625,0.3973967615805827,0.25647147222175953,0.3217308594570902,,
hybrid_dense_lexical_dw0.75_lw0.25,leiden,cosine,k=30;resolution=1.5;seed=7,30.0,1.5,7.0,5509.0,18.0,0.1473951715374841,0.0,0.2744525595299967,0.37414853683650157,0.3832054754728832,0.2744525595299967,0.37414853683650157,0.3832054754728832,0.2744525595299967,0.37414853683650157,0.3832054754728832,0.33885543132816603,0.334946988927701,0.34285616462440754,0.32073793036015336,,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,kmeans,,n_clusters=30,,,,5509.0,30.0,0.044472681067344345,0.0,0.18550691284011267,0.31100771635719215,0.32657099720896593,0.18550691284011267,0.31100771635719215,0.32657099720896593,0.18550691284011267,0.31100771635719215,0.32657099720896593,0.22319803531889815,0.33785464635265117,0.16664445813970274,0.24413597348949334,30.0,
hybrid_dense_lexical_dw0.75_lw0.25,kmeans,,n_clusters=30,,,,5509.0,30.0,0.05717916137229987,0.0,0.17926072670096704,0.3075498391829767,0.32324100741632905,0.17926072670096704,0.3075498391829767,0.32324100741632905,0.17926072670096704,0.3075498391829767,0.32324100741632905,0.2182231913125347,0.3236049035070007,0.164616079343664,0.23974307596347466,30.0,
hybrid_dense_lexical_dw0.75_lw0.25,kmeans,,n_clusters=25,,,,5509.0,25.0,0.06008349972771828,0.0,0.1781576568169781,0.3000487809811899,0.3134566413013894,0.1781576568169781,0.3000487809811899,0.3134566413013894,0.1781576568169781,0.3000487809811899,0.3134566413013894,0.22465807215348857,0.29877937329796533,0.18000288710850532,0.23675282799737649,25.0,
dense_bge_pca,kmeans,,n_clusters=30,,,,5509.0,30.0,0.049736794336540206,0.0,0.17452686837018944,0.30222362279585563,0.31801257932306004,0.17452686837018944,0.30222362279585563,0.31801257932306004,0.17452686837018944,0.30222362279585563,0.31801257932306004,0.21131387018669617,0.31597900829095144,0.1587345211193838,0.2345687039383322,30.0,
hybrid_dense_lexical_dw1.25_lw1.0,kmeans,,n_clusters=30,,,,5509.0,30.0,0.06280631693592303,0.0,0.16706842872205532,0.3030698107587796,0.31901414982958987,0.16706842872205532,0.3030698107587796,0.31901414982958987,0.16706842872205532,0.3030698107587796,0.31901414982958987,0.21119060836199077,0.29519881964336747,0.16440417298221652,0.23272614989816814,30.0,
dense_bge_pca,agglomerative,cosine,n_clusters=25;linkage=average,,,,5509.0,25.0,0.17353421673624977,0.0,0.1680633436955144,0.2824890058749264,0.2971407575282442,0.1680633436955144,0.2824890058749264,0.2971407575282442,0.1680633436955144,0.2824890058749264,0.2971407575282442,0.24323771581431686,0.21796452573921815,0.27514051520081134,0.22984953682856404,,
dense_bge_pca,agglomerative,cosine,n_clusters=20;linkage=average,,,,5509.0,20.0,0.20947540388455255,0.0,0.15158107983553284,0.2659308686815763,0.27824416546670466,0.15158107983553284,0.2659308686815763,0.27824416546670466,0.15158107983553284,0.2659308686815763,0.27824416546670466,0.2333802487304859,0.1964228018561268,0.2874680983763716,0.21489758879974846,,
dense_bge_pca,agglomerative,cosine,n_clusters=15;linkage=average,,,,5509.0,15.0,0.20947540388455255,0.0,0.14073612344056116,0.245158954221894,0.25473476147157237,0.14073612344056116,0.245158954221894,0.25473476147157237,0.14073612344056116,0.245158954221894,0.25473476147157237,0.2268394769303218,0.18286998737565474,0.2986463902815486,0.2003042136305046,,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,agglomerative,cosine,n_clusters=25;linkage=average,,,,5509.0,25.0,0.2791795244145943,0.0,0.12459897109426456,0.2501945726071033,0.26605932020904105,0.12459897109426456,0.2501945726071033,0.26605932020904105,0.12459897109426456,0.2501945726071033,0.26605932020904105,0.21031282442858415,0.16741051985723715,0.28278117383169266,0.19599600078767712,,
hybrid_dense_lexical_dw0.75_lw0.25,agglomerative,cosine,n_clusters=25;linkage=average,,,,5509.0,25.0,0.28244690506444003,0.0,0.11948486991356656,0.24883593407609317,0.2647521989505086,0.11948486991356656,0.24883593407609317,0.2647521989505086,0.11948486991356656,0.24883593407609317,0.2647521989505086,0.20755669843814514,0.16300746241068081,0.28561368637488366,0.19331203721454476,,
hybrid_dense_lexical_dw1.25_lw1.0,hdbscan,euclidean,min_cluster_size=30;min_samples=5;method=eom,,,,5509.0,11.0,0.8885460156108187,0.8885460156108187,-0.002527447304617026,0.1220465891970138,0.1342785599248601,-0.002527447304617026,0.1220465891970138,0.1342785599248601,-0.002527447304617026,0.1220465891970138,0.1342785599248601,0.13101851059512137,0.07140497927066658,0.7934033272074813,-1.0436676054733804,,
dense_bge_pca,hdbscan,euclidean,min_cluster_size=30;min_samples=5;method=eom,,,,5509.0,7.0,0.9313850063532402,0.9313850063532402,-0.003436050503379287,0.0744658546581968,0.08268393720271199,-0.003436050503379287,0.0744658546581968,0.08268393720271199,-0.003436050503379287,0.0744658546581968,0.08268393720271199,0.12961162624881703,0.07011941550967637,0.8551911506422891,-1.1523143473754134,,
hybrid_dense_lexical_dw1.25_lw1.0,hdbscan,euclidean,min_cluster_size=75;min_samples=10;method=eom,,,,5509.0,3.0,0.9172263568705754,0.9172263568705754,-0.0019986822005663065,0.08048573870061024,0.08317223153636066,-0.0019986822005663065,0.08048573870061024,0.08317223153636066,-0.0019986822005663065,0.08048573870061024,0.08317223153636066,0.1315355225482148,0.07131327191679976,0.8457497506167493,-1.2718550082674656,,
