year,months,selected_count,tagged_candidates,total_candidates
1996,12,128,128,1200
1997,12,110,110,1110
1998,12,112,112,1200
1999,12,113,113,1114
2000,12,119,119,1110
2001,12,137,137,1200
2002,12,113,113,1110
2003,12,127,127,1110
2004,12,148,148,1110
2005,12,92,92,1110
2006,12,163,163,1200
2007,12,143,143,1030
2008,12,194,194,1200
2009,12,210,210,1200
2010,12,233,236,1119
2011,12,351,541,1200
2012,12,336,606,1056
2013,12,346,545,1098
2014,12,308,373,1050
2015,12,306,327,1200
2016,12,260,274,1116
2017,12,245,257,1128
2018,12,251,251,1200
2019,12,186,188,1200
2020,12,261,278,1126
2021,12,125,125,1200
2022,12,143,143,1200
2023,12,67,67,1121
2024,12,65,65,860
2025,12,102,102,1117
2026,3,16,16,300
