id,macro_tags,level_1_tags
-413100001,"[""literature_folklore_characters""]","[""culture_media_characters""]"
-413100002,"[""alcohol_smoking_drugs""]","[""health_habits_sport""]"
-413000002,"[""transport""]","[""daily_life_services""]"
-413000003,"[""transport""]","[""daily_life_services""]"
-412800006,"[""absurd_philosophy""]","[""beliefs_science_absurd""]"
-412600006,"[""soviet_history_politics"", ""literature_folklore_characters""]","[""culture_media_characters"", ""politics_society""]"
-412400007,"[""transport""]","[""daily_life_services""]"
-412300007,"[""literature_folklore_characters""]","[""culture_media_characters""]"
-412200003,"[""education_children""]","[""relationships_identity""]"
-412200009,"[""education_children""]","[""relationships_identity""]"
-422700001,"[""literature_folklore_characters""]","[""culture_media_characters""]"
-422500001,"[""literature_folklore_characters""]","[""culture_media_characters""]"
-422500004,"[""education_children""]","[""relationships_identity""]"
-422300014,"[""education_children""]","[""relationships_identity""]"
-422000003,"[""work_professions""]","[""work_money_technology""]"
-421900010,"[""education_children""]","[""relationships_identity""]"
-421900013,"[""literature_folklore_characters""]","[""culture_media_characters""]"
-433100007,"[""literature_folklore_characters""]","[""culture_media_characters""]"
-432500001,"[""education_children""]","[""relationships_identity""]"
-432500002,"[""education_children""]","[""relationships_identity""]"
-432500003,"[""literature_folklore_characters""]","[""culture_media_characters""]"
-432500005,"[""education_children""]","[""relationships_identity""]"
-432500007,"[""education_children""]","[""relationships_identity""]"
-432500008,"[""education_children""]","[""relationships_identity""]"
-432300023,"[""literature_folklore_characters""]","[""culture_media_characters""]"
-442900003,"[""education_children""]","[""relationships_identity""]"
-442800020,"[""education_children""]","[""relationships_identity""]"
-442600004,"[""education_children""]","[""relationships_identity""]"
-442600012,"[""education_children""]","[""relationships_identity""]"
-442600016,"[""education_children""]","[""relationships_identity""]"
-442400002,"[""transport""]","[""daily_life_services""]"
-442200002,"[""education_children""]","[""relationships_identity""]"
-442000003,"[""transport""]","[""daily_life_services""]"
-442000005,"[""law_crime""]","[""politics_society""]"
-441900005,"[""law_crime""]","[""politics_society""]"
-441800002,"[""literature_folklore_characters""]","[""culture_media_characters""]"
-452600001,"[""literature_folklore_characters""]","[""culture_media_characters""]"
-451800001,"[""politics_power""]","[""politics_society""]"
