feature_set,method,metric,params,k,resolution,seed,rows,cluster_count,largest_cluster_share,noise_share,ari_all,ami_all,v_measure_all,ari_excluding_other,ami_excluding_other,v_measure_excluding_other,ari_single_clear,ami_single_clear,v_measure_single_clear,pairwise_f1_all,pairwise_precision_all,pairwise_recall_all,balanced_score,n_clusters,error
hybrid_dense_lexical_dw0.75_lw0.25,leiden,cosine,k=75;resolution=2.5;seed=42,75.0,2.5,42.0,5509.0,29.0,0.08241060083499728,0.0,0.27489937148343135,0.39643696213118507,0.4099380500602041,0.27489937148343135,0.39643696213118507,0.4099380500602041,0.27489937148343135,0.39643696213118507,0.4099380500602041,0.3182682692942835,0.4137360278332963,0.25859793867855563,0.3278953702451741,,
hybrid_dense_lexical_dw0.75_lw0.25,leiden,cosine,k=75;resolution=2.0;seed=7,75.0,2.0,7.0,5509.0,20.0,0.12906153566890544,0.0,0.2768398283612387,0.3771557986073597,0.38709742673182684,0.2768398283612387,0.3771557986073597,0.38709742673182684,0.2768398283612387,0.3771557986073597,0.38709742673182684,0.3388263088979487,0.3518516488608496,0.3267309233380156,0.32302272669239,,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,leiden,cosine,k=50;resolution=2.5;seed=42,50.0,2.5,42.0,5509.0,30.0,0.08386277001270648,0.0,0.2676222716194148,0.39093941835203355,0.4049548283870967,0.2676222716194148,0.39093941835203355,0.4049548283870967,0.2676222716194148,0.39093941835203355,0.4049548283870967,0.3107595964281572,0.4161420269779201,0.2479656063945752,0.3218651915386368,,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,leiden,cosine,k=75;resolution=2.5;seed=42,75.0,2.5,42.0,5509.0,28.0,0.08640406607369759,0.0,0.26713846123918855,0.39098158432422087,0.40417392171884886,0.26713846123918855,0.39098158432422087,0.40417392171884886,0.26713846123918855,0.39098158432422087,0.40417392171884886,0.31174761895388625,0.3973967615805827,0.25647147222175953,0.3217308594570902,,
hybrid_dense_lexical_dw0.75_lw0.25,leiden,cosine,k=30;resolution=1.5;seed=7,30.0,1.5,7.0,5509.0,18.0,0.1473951715374841,0.0,0.2744525595299967,0.37414853683650157,0.3832054754728832,0.2744525595299967,0.37414853683650157,0.3832054754728832,0.2744525595299967,0.37414853683650157,0.3832054754728832,0.33885543132816603,0.334946988927701,0.34285616462440754,0.32073793036015336,,
hybrid_dense_lexical_dw0.75_lw0.25,leiden,cosine,k=30;resolution=1.5;seed=42,30.0,1.5,42.0,5509.0,17.0,0.14830277727355237,0.0,0.2723347133277556,0.372947269764879,0.3815516930563735,0.2723347133277556,0.372947269764879,0.3815516930563735,0.2723347133277556,0.372947269764879,0.3815516930563735,0.3412474240142979,0.33055089358122025,0.35265937856840135,0.3199272760182555,,
dense_bge_pca,leiden,cosine,k=20;resolution=2.0;seed=1,20.0,2.0,1.0,5509.0,25.0,0.09203122163732075,0.0,0.2773252213978292,0.37342100587879384,0.3856635555423038,0.2773252213978292,0.37342100587879384,0.3856635555423038,0.2773252213978292,0.37342100587879384,0.3856635555423038,0.322967890225894,0.3845609092315224,0.2783811094269645,0.31889123452586227,,
hybrid_dense_lexical_dw0.75_lw0.25,leiden,cosine,k=20;resolution=1.5;seed=42,20.0,1.5,42.0,5509.0,20.0,0.13704846614630606,0.0,0.2741042550270887,0.3696249136698328,0.3797585526691768,0.2741042550270887,0.3696249136698328,0.3797585526691768,0.2741042550270887,0.3696249136698328,0.3797585526691768,0.33526365200403296,0.3400345083230154,0.3306248183990243,0.318148627810194,,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,leiden,cosine,k=20;resolution=1.5;seed=7,20.0,1.5,7.0,5509.0,20.0,0.13995280450172445,0.0,0.2755323599453162,0.36887281380541687,0.3789865510293659,0.2755323599453162,0.36887281380541687,0.3789865510293659,0.2755323599453162,0.36887281380541687,0.3789865510293659,0.3348041812780384,0.341521868229492,0.3283456683193512,0.31814174475762735,,
hybrid_dense_lexical_dw0.75_lw0.25,leiden,cosine,k=50;resolution=2.5;seed=7,50.0,2.5,7.0,5509.0,28.0,0.08077691051007442,0.0,0.2614944350845777,0.38878672524009783,0.40196950997279307,0.2614944350845777,0.38878672524009783,0.40196950997279307,0.2614944350845777,0.38878672524009783,0.40196950997279307,0.3052407442426998,0.3989057411259458,0.24719756150373937,0.31774620191513114,,
hybrid_dense_lexical_dw0.75_lw0.25,leiden,cosine,k=50;resolution=2.0;seed=7,50.0,2.0,7.0,5509.0,23.0,0.09638772917044836,0.0,0.26451393858800637,0.38190158179816835,0.39307019624324024,0.26451393858800637,0.38190158179816835,0.39307019624324024,0.26451393858800637,0.38190158179816835,0.39307019624324024,0.31866774560068817,0.36437955196082633,0.2831466891713073,0.31773559611698327,,
dense_bge_pca,leiden,cosine,k=20;resolution=1.5;seed=7,20.0,1.5,7.0,5509.0,19.0,0.1423125794155019,0.0,0.27444987138195276,0.366372596418206,0.3760342672131366,0.27444987138195276,0.366372596418206,0.3760342672131366,0.27444987138195276,0.366372596418206,0.3760342672131366,0.33521232101378967,0.33286163435939264,0.33759644515511733,0.3166605117042691,,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,leiden,cosine,k=20;resolution=1.5;seed=42,20.0,1.5,42.0,5509.0,18.0,0.14594300235977492,0.0,0.27217081509893415,0.36702693709538053,0.37617173266657705,0.27217081509893415,0.36702693709538053,0.37617173266657705,0.27217081509893415,0.36702693709538053,0.37617173266657705,0.33535894587743115,0.33366706940947033,0.33706806728443384,0.31617135429088683,,
hybrid_dense_lexical_dw0.75_lw0.25,leiden,cosine,k=30;resolution=2.0;seed=42,30.0,2.0,42.0,5509.0,26.0,0.0918497004901071,0.0,0.26026011385612763,0.3821361424135306,0.3947024216540457,0.26026011385612763,0.3821361424135306,0.3947024216540457,0.26026011385612763,0.3821361424135306,0.3947024216540457,0.3117262437472283,0.36942329514837613,0.26961706947382447,0.31552611680250153,,
hybrid_dense_lexical_dw0.75_lw0.25,leiden,cosine,k=20;resolution=1.5;seed=1,20.0,1.5,1.0,5509.0,21.0,0.14140497367943367,0.0,0.26921101102441286,0.36897057127798744,0.37957972270600404,0.26921101102441286,0.36897057127798744,0.37957972270600404,0.26921101102441286,0.36897057127798744,0.37957972270600404,0.3302866118787989,0.33877586760456496,0.3222124134561465,0.31550967061518215,,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,leiden,cosine,k=30;resolution=1.5;seed=7,30.0,1.5,7.0,5509.0,19.0,0.1492103830096206,0.0,0.26734341153147506,0.36984813650102694,0.3794876184430999,0.26734341153147506,0.36984813650102694,0.3794876184430999,0.26734341153147506,0.36984813650102694,0.3794876184430999,0.3312843876198615,0.32794569932251094,0.3346917548992936,0.31530143289439516,,
hybrid_dense_lexical_dw0.75_lw0.25,leiden,cosine,k=75;resolution=2.5;seed=1,75.0,2.5,1.0,5509.0,27.0,0.08422581230713379,0.0,0.26464805313247153,0.3779322544807118,0.3909617635831066,0.26464805313247153,0.3779322544807118,0.3909617635831066,0.26464805313247153,0.3779322544807118,0.3909617635831066,0.3117026701911061,0.3906055516450738,0.2593197158048833,0.31506184176988167,,
