run_id,k,resolution,seed,cluster_count,largest_cluster_share,modularity,fallback
k15_r0.5_s42,15,0.5,42,6,0.32111090942094755,0.5558518775048098,False
k15_r0.5_s123,15,0.5,123,6,0.375385732437829,0.5542933579655192,False
k15_r1.0_s42,15,1.0,42,15,0.1887819931021964,0.5897805368359406,False
k15_r1.0_s123,15,1.0,123,14,0.167180976583772,0.5875153021391908,False
k15_r1.5_s42,15,1.5,42,18,0.13214739517153748,0.5816844929248604,False
k15_r1.5_s123,15,1.5,123,20,0.11889635142494101,0.5802653701596582,False
k30_r0.5_s42,30,0.5,42,5,0.3496097295334907,0.5173318453483887,False
k30_r0.5_s123,30,0.5,123,3,0.6042838990742422,0.42815526365406414,False
k30_r1.0_s42,30,1.0,42,12,0.204574332909784,0.5358356252247378,False
k30_r1.0_s123,30,1.0,123,11,0.1927754583408967,0.5343853187774429,False
k30_r1.5_s42,30,1.5,42,17,0.14539843891813398,0.5289825813021277,False
k30_r1.5_s123,30,1.5,123,18,0.1544744962788165,0.528040903108537,False
k50_r0.5_s42,50,0.5,42,4,0.5957524051552006,0.4261606205443772,False
k50_r0.5_s123,50,0.5,123,4,0.597567616627337,0.42694653246072006,False
k50_r1.0_s42,50,1.0,42,9,0.21237974223997097,0.500791787701476,False
k50_r1.0_s123,50,1.0,123,9,0.24959157741876928,0.5019597436834791,False
k50_r1.5_s42,50,1.5,42,18,0.1541114539843892,0.4866782251329763,False
k50_r1.5_s123,50,1.5,123,17,0.14775821383191143,0.48646216520437624,False
