run_a,run_b,ari,ami
k15_r0.5_s42,k15_r0.5_s123,0.8057576286896205,0.8305825878714672
k15_r0.5_s42,k15_r1.0_s42,0.45036591209383825,0.5582119392664272
k15_r0.5_s42,k15_r1.0_s123,0.36951836096047835,0.5311361101460016
k15_r0.5_s42,k15_r1.5_s42,0.27091950811850635,0.4867422125128807
k15_r0.5_s42,k15_r1.5_s123,0.2548268822997344,0.4715205241029842
k15_r0.5_s42,k30_r0.5_s42,0.7150726657444811,0.7118045088130383
k15_r0.5_s42,k30_r0.5_s123,0.49280473753961407,0.5809502257454654
k15_r0.5_s42,k30_r1.0_s42,0.4473257291500265,0.5809308936223329
k15_r0.5_s42,k30_r1.0_s123,0.4369577753765742,0.552792048556532
k15_r0.5_s42,k30_r1.5_s42,0.29776453906630107,0.4899947996634139
k15_r0.5_s42,k30_r1.5_s123,0.2877308262392575,0.4679897749653405
k15_r0.5_s42,k50_r0.5_s42,0.5095351186516442,0.6156490426697934
k15_r0.5_s42,k50_r0.5_s123,0.5131360759246945,0.6226830802788447
k15_r0.5_s42,k50_r1.0_s42,0.4888924983333035,0.5871595227131167
k15_r0.5_s42,k50_r1.0_s123,0.5860583271262725,0.6160691976969039
k15_r0.5_s42,k50_r1.5_s42,0.317525134635939,0.49164803528262047
k15_r0.5_s42,k50_r1.5_s123,0.3115753882752934,0.48566609320327064
k15_r0.5_s123,k15_r1.0_s42,0.4395955175093242,0.5757833681735318
k15_r0.5_s123,k15_r1.0_s123,0.37462970971504883,0.5454715891498008
k15_r0.5_s123,k15_r1.5_s42,0.2647767856274423,0.4926997700225538
k15_r0.5_s123,k15_r1.5_s123,0.24760079516155808,0.47636935553666837
k15_r0.5_s123,k30_r0.5_s42,0.6054371923156351,0.6663373952955003
k15_r0.5_s123,k30_r0.5_s123,0.5113408752482772,0.5866101262650062
k15_r0.5_s123,k30_r1.0_s42,0.4182039553150888,0.5744480835879588
k15_r0.5_s123,k30_r1.0_s123,0.41171680715843323,0.54852381312907
k15_r0.5_s123,k30_r1.5_s42,0.2916683646905254,0.49478410700445474
k15_r0.5_s123,k30_r1.5_s123,0.28297089424775146,0.4765745094794348
k15_r0.5_s123,k50_r0.5_s42,0.5219392992075568,0.6143746985658395
k15_r0.5_s123,k50_r0.5_s123,0.5282517671006179,0.6260801685824722
k15_r0.5_s123,k50_r1.0_s42,0.48729621288257985,0.5981910474002761
k15_r0.5_s123,k50_r1.0_s123,0.5669856169958234,0.6153789981680673
k15_r0.5_s123,k50_r1.5_s42,0.3097787898320088,0.4977103194864724
k15_r0.5_s123,k50_r1.5_s123,0.31071260586077437,0.4977853493647339
k15_r1.0_s42,k15_r1.0_s123,0.7175260016903117,0.7800606386876129
k15_r1.0_s42,k15_r1.5_s42,0.5490816247851604,0.679368886830108
k15_r1.0_s42,k15_r1.5_s123,0.546342584785121,0.6988745976300385
k15_r1.0_s42,k30_r0.5_s42,0.3940871276238647,0.5012252033978591
k15_r1.0_s42,k30_r0.5_s123,0.20747955277526106,0.35571654167575306
k15_r1.0_s42,k30_r1.0_s42,0.6306750845517388,0.6692426352849746
k15_r1.0_s42,k30_r1.0_s123,0.6413443638547038,0.6607712241532783
k15_r1.0_s42,k30_r1.5_s42,0.549402914955317,0.6431299665535949
k15_r1.0_s42,k30_r1.5_s123,0.6074424996478726,0.6881353138132604
k15_r1.0_s42,k50_r0.5_s42,0.22010550585923944,0.3878518720862404
k15_r1.0_s42,k50_r0.5_s123,0.22299332493815915,0.3921567208398556
k15_r1.0_s42,k50_r1.0_s42,0.5037374190128455,0.5586164675310771
k15_r1.0_s42,k50_r1.0_s123,0.5689534054582871,0.5960541224996055
k15_r1.0_s42,k50_r1.5_s42,0.5810589478573632,0.6481049213824678
k15_r1.0_s42,k50_r1.5_s123,0.5727106107353337,0.6638910072579701
k15_r1.0_s123,k15_r1.5_s42,0.6205680568230304,0.6977242213625808
k15_r1.0_s123,k15_r1.5_s123,0.6152302748171392,0.7163584652696157
k15_r1.0_s123,k30_r0.5_s42,0.33083589847109696,0.4822972488041989
k15_r1.0_s123,k30_r0.5_s123,0.1777464113624693,0.3505214456928141
k15_r1.0_s123,k30_r1.0_s42,0.6452771763192598,0.6871646345386904
k15_r1.0_s123,k30_r1.0_s123,0.5918212103333458,0.6568299253736367
k15_r1.0_s123,k30_r1.5_s42,0.6146828501734221,0.6609467694636975
k15_r1.0_s123,k30_r1.5_s123,0.6563010023743039,0.6916764007016946
k15_r1.0_s123,k50_r0.5_s42,0.18565417504941448,0.37493425710400163
k15_r1.0_s123,k50_r0.5_s123,0.18955594678494087,0.3836902298690653
k15_r1.0_s123,k50_r1.0_s42,0.5157990979187743,0.5765036778507677
k15_r1.0_s123,k50_r1.0_s123,0.4823955772756493,0.5739063803870864
k15_r1.0_s123,k50_r1.5_s42,0.6259844955869365,0.6613412017070284
k15_r1.0_s123,k50_r1.5_s123,0.6140845803125995,0.6624229296554719
k15_r1.5_s42,k15_r1.5_s123,0.7636785878428328,0.7964385364371984
k15_r1.5_s42,k30_r0.5_s42,0.2522130265732633,0.45274625817311676
k15_r1.5_s42,k30_r0.5_s123,0.12328005750335427,0.3245093473591593
k15_r1.5_s42,k30_r1.0_s42,0.525891214211683,0.6281069550628587
k15_r1.5_s42,k30_r1.0_s123,0.49642287125572526,0.6139901364742135
k15_r1.5_s42,k30_r1.5_s42,0.6713344456877652,0.7053819674895468
k15_r1.5_s42,k30_r1.5_s123,0.6780089861430536,0.7087968214005489
k15_r1.5_s42,k50_r0.5_s42,0.1304606664576213,0.3550488300778568
k15_r1.5_s42,k50_r0.5_s123,0.13214340455793408,0.35918060085219616
k15_r1.5_s42,k50_r1.0_s42,0.4482290833838163,0.5620523853429612
k15_r1.5_s42,k50_r1.0_s123,0.38607442955032,0.5398154920630074
k15_r1.5_s42,k50_r1.5_s42,0.6376889908417386,0.6724839746313941
k15_r1.5_s42,k50_r1.5_s123,0.6358181390377056,0.670907927325031
k15_r1.5_s123,k30_r0.5_s42,0.2361818205671068,0.43744169608847905
k15_r1.5_s123,k30_r0.5_s123,0.11649368056051183,0.315415562304064
k15_r1.5_s123,k30_r1.0_s42,0.501074145184604,0.6154822135875762
k15_r1.5_s123,k30_r1.0_s123,0.4618686933405772,0.5951626679983949
k15_r1.5_s123,k30_r1.5_s42,0.6093963842861249,0.6660581591888365
k15_r1.5_s123,k30_r1.5_s123,0.6659134538219678,0.7121581444576622
k15_r1.5_s123,k50_r0.5_s42,0.12273240287332822,0.34148482640401917
k15_r1.5_s123,k50_r0.5_s123,0.1243049010771038,0.34661614217552195
k15_r1.5_s123,k50_r1.0_s42,0.4165781444045725,0.5412228406475659
k15_r1.5_s123,k50_r1.0_s123,0.3692366013767243,0.535365173407059
k15_r1.5_s123,k50_r1.5_s42,0.607978583686953,0.6642170263600918
k15_r1.5_s123,k50_r1.5_s123,0.6079729023317056,0.6619501601468262
k30_r0.5_s42,k30_r0.5_s123,0.5396153189765653,0.6506802071587403
k30_r0.5_s42,k30_r1.0_s42,0.4252118577786165,0.5645505257689312
k30_r0.5_s42,k30_r1.0_s123,0.4356942154953902,0.5553562736148563
k30_r0.5_s42,k30_r1.5_s42,0.30383535024256997,0.4920338410773805
k30_r0.5_s42,k30_r1.5_s123,0.28484053764398193,0.4668616856716147
