macro_tag,count,share
education_children,636,0.11544744962788164
politics_power,620,0.11254311127246325
sex_gender,601,0.10909420947540388
literature_folklore_characters,397,0.0720638954438192
transport,356,0.06462152840805954
family_relationships,340,0.06171719005264113
it_internet,298,0.05409330186966781
media_popculture,281,0.05100744236703576
work_professions,261,0.047377019422762755
absurd_philosophy,261,0.047377019422762755
health_medicine,239,0.043383554184062444
everyday_life,216,0.039208567798148485
finance_economy,184,0.03339989108731167
alcohol_smoking_drugs,171,0.031040116173534218
law_crime,159,0.02886186240697041
cities_places,147,0.026683608640406607
religion_holidays,146,0.026502087493192956
sport,136,0.02468687602105645
animals,129,0.023416227990560902
consumer_services,109,0.019785805046287894
covid_pandemic,102,0.01851515701579234
army_police,101,0.01833363586857869
textual_forms,70,0.012706480304955527
science_space,65,0.011798874568887275
food_diet,46,0.008349972771827918
ethnic_regional,43,0.0078054093301869664
soviet_history_politics,16,0.0029043383554184063
