tag_raw,count
девушки,335
муж и жена,263
о жизни,232
вовочка,219
студент,214
работа,202
мужчины,187
Путин,168
политика,155
врачи,151
гаи,144
интернет,135
дети,131
Украина,120
авто,119
новогодний,105
коронавирус,102
деньги,98
Одесса,95
звёзды,85
Рабинович,77
школа,76
секс,73
спорт,73
кошки,71
водка,70
авиация,68
тв,66
коррупция,55
погода,53
объявления,51
русский язык,50
Медведев,48
армия,48
сигареты,48
блондинки,47
реклама,46
мобильный,45
отдых,45
футбол,45
пенсионеры,44
Дед Мороз,43
новые русские,43
windows,40
диета,40
программист,39
фильмы,39
Москва,37
Ржевский,37
чапаев,35
космос,33
наркотики,33
аптека,32
соседи,31
геи,30
милиция,30
кино,29
поезд,29
Шерлок Холмс,28
налоги,28
свадьба,27
смс,27
собаки,27
такси,27
тёща,27
Штирлиц,26
парашют,26
приметы,26
кризис,24
любовь,23
Трамп,22
автобус,22
кредиты,22
санкции,22
Сочи 2014,21
Винни-Пух,20
лифт,20
пиво,20
пошлые,19
apple,18
армянское радио,18
тараканы,18
чукча,18
юмор,18
Абрамович,17
Буратино,17
золотая рыбка,17
Билл Гейтс,16
метро,16
нанотехнологии,16
сбербанк,16
Челябинск,15
животные,15
почта,15
рыбалка,15
таможня,15
8 марта,14
Иван-царевич,14
британские ученые,14
грипп,14
демократия,14
инструкции,14
фсб,14
23 февраля,13
Красная Шапочка,13
жкх,13
Колобок,12
Муму,12
бесплатное,12
сантехник,12
Обама,11
ии,11
конец света,11
маршрутка,11
охота,11
Валуев,10
Навальный,10
дача,10
егэ,10
пасха,10
пожарный,10
Березовский,9
Карлсон,9
Пушкин,9
война,9
троллейбус,9
Брежнев,8
Сталин,8
Чебурашка,8
богатыри,8
трамвай,8
веган,7
мультфильмы,7
хоккей,7
цитаты,7
1 апреля,6
Вконтакте,6
Куклачев,6
Прохоров,6
брюнетки,6
покемоны,6
Гарри Поттер,5
трактор,5
Адам и Ева,4
Донцова,4
Каренина,4
семья,4
14 февраля,3
Мазай,3
Хоттабыч,3
Чак Норрис,3
telegram,2
Баба-Яга,2
Онищенко,2
Перельман,2
Сусанин,2
ммм,2
твиттер,2
