tag_raw,count
коронавирус,102
Одесса,95
звёзды,85
секс,73
спорт,73
авиация,68
погода,53
объявления,51
сигареты,48
блондинки,47
реклама,46
футбол,45
отдых,45
пенсионеры,44
новые русские,43
диета,40
фильмы,39
Ржевский,37
Москва,37
наркотики,33
космос,33
аптека,32
геи,30
поезд,29
Шерлок Холмс,28
налоги,28
смс,27
парашют,26
приметы,26
кризис,24
кредиты,22
Сочи 2014,21
лифт,20
пошлые,19
тараканы,18
армянское радио,18
золотая рыбка,17
метро,16
сбербанк,16
нанотехнологии,16
рыбалка,15
почта,15
Челябинск,15
таможня,15
инструкции,14
британские ученые,14
грипп,14
Иван-царевич,14
Красная Шапочка,13
бесплатное,12
Колобок,12
Муму,12
охота,11
конец света,11
пасха,10
Валуев,10
пожарный,10
Пушкин,9
Карлсон,9
троллейбус,9
трамвай,8
Брежнев,8
богатыри,8
Сталин,8
мультфильмы,7
хоккей,7
веган,7
цитаты,7
покемоны,6
Куклачев,6
Прохоров,6
брюнетки,6
трактор,5
Адам и Ева,4
Каренина,4
Донцова,4
Мазай,3
Хоттабыч,3
Чак Норрис,3
ммм,2
Сусанин,2
Перельман,2
твиттер,2
Баба-Яга,2
Онищенко,2
