cluster_leiden,rows,chars_mean,chars_median,words_mean,words_max
0,1127,167.14285714285714,127.0,24.342502218278614,434
1,746,114.98391420911528,99.0,18.050938337801608,261
2,722,190.69806094182826,152.0,30.246537396121884,209
3,529,147.72778827977316,108.0,22.429111531190927,512
4,515,335.7728155339806,240.0,51.14368932038835,488
5,504,162.66468253968253,104.5,24.628968253968253,867
6,441,282.1746031746032,190.0,43.79818594104309,626
7,230,264.6,183.5,39.130434782608695,195
8,217,237.72811059907835,180.0,36.58986175115207,258
9,209,189.42583732057417,118.0,27.014354066985646,486
10,176,130.75,110.0,20.454545454545453,89
11,93,217.3763440860215,136.0,33.75268817204301,282
