macro_tag,rows,chars_mean,chars_median,words_mean,words_max
animals,111,159.0900900900901,116.0,24.9009009009009,178
army_police,245,260.71836734693875,176.0,39.138775510204084,396
character_cycles,247,210.18623481781376,171.0,32.36842105263158,201
education_children,636,279.20911949685535,168.5,42.23899371069182,867
everyday_life,657,164.34855403348553,120.0,25.004566210045663,383
family_relationships,777,142.55212355212356,118.0,22.81853281853282,261
it_internet,270,164.9925925925926,118.0,24.97037037037037,305
other,1830,188.84426229508196,127.5,28.652459016393443,626
politics_power,607,168.0296540362438,132.0,24.67380560131796,276
work_professions,401,237.5137157107232,146.0,36.09725685785536,486
